x,y,z
-133.0,38.0,-11.970000267028809
-133.0,39.0,-11.8100004196167
-133.0,40.0,-11.5600004196167
-133.0,41.0,-10.819999694824219
-133.0,42.0,-10.75
-133.0,43.0,-10.6899995803833
-133.0,44.0,-10.760000228881836
-133.0,45.0,-10.770000457763672
-133.0,46.0,-10.779999732971191
-133.0,47.0,-10.739999771118164
-133.0,48.0,-10.609999656677246
-133.0,49.0,-10.0600004196167
-133.0,50.0,-10.119999885559082
-133.0,51.0,-10.220000267028809
-133.0,52.0,-10.979999542236328
-133.0,53.0,-10.770000457763672
-133.0,54.0,-15.199999809265137
-132.0,38.0,-11.970000267028809
-132.0,39.0,-11.710000038146973
-132.0,40.0,-11.510000228881836
-132.0,41.0,-10.899999618530273
-132.0,42.0,-10.569999694824219
-132.0,43.0,-10.529999732971191
-132.0,44.0,-10.680000305175781
-132.0,45.0,-10.670000076293945
-132.0,46.0,-10.550000190734863
-132.0,47.0,-10.390000343322754
-132.0,48.0,-10.109999656677246
-132.0,49.0,-9.960000038146973
-132.0,50.0,-10.0
-132.0,51.0,-10.960000038146973
-132.0,52.0,-10.739999771118164
-132.0,53.0,-19.6299991607666
-132.0,54.0,-24.530000686645508
-131.0,38.0,-11.880000114440918
-131.0,39.0,-11.600000381469727
-131.0,40.0,-11.4399995803833
-131.0,41.0,-10.739999771118164
-131.0,42.0,-10.420000076293945
-131.0,43.0,-10.569999694824219
-131.0,44.0,-10.529999732971191
-131.0,45.0,-10.479999542236328
-131.0,46.0,-10.0600004196167
-131.0,47.0,-9.859999656677246
-131.0,48.0,-9.899999618530273
-131.0,49.0,-9.899999618530273
-131.0,50.0,-10.600000381469727
-131.0,51.0,-10.760000228881836
-131.0,52.0,-17.010000228881836
-131.0,53.0,-20.829999923706055
-131.0,54.0,-24.59000015258789
-130.0,38.0,-11.920000076293945
-130.0,39.0,-11.579999923706055
-130.0,40.0,-11.479999542236328
-130.0,41.0,-10.59000015258789
-130.0,42.0,-10.15999984741211
-130.0,43.0,-10.4399995803833
-130.0,44.0,-10.329999923706055
-130.0,45.0,-9.829999923706055
-130.0,46.0,-9.470000267028809
-130.0,47.0,-10.5
-130.0,48.0,-12.039999961853027
-130.0,49.0,-12.15999984741211
-130.0,50.0,-11.0
-130.0,51.0,-11.0
-130.0,52.0,-16.850000381469727
-130.0,53.0,-21.809999465942383
-130.0,54.0,-29.899999618530273
-129.0,38.0,-11.770000457763672
-129.0,39.0,-11.550000190734863
-129.0,40.0,-11.5
-129.0,41.0,-10.5
-129.0,42.0,-10.130000114440918
-129.0,43.0,-10.289999961853027
-129.0,44.0,-10.220000267028809
-129.0,45.0,-9.680000305175781
-129.0,46.0,-9.5600004196167
-129.0,47.0,-11.859999656677246
-129.0,48.0,-12.920000076293945
-129.0,49.0,-12.619999885559082
-129.0,50.0,-11.399999618530273
-129.0,51.0,-16.0
-129.0,52.0,-19.149999618530273
-129.0,53.0,-26.010000228881836
-129.0,54.0,-29.6200008392334
-128.0,38.0,-11.6899995803833
-128.0,39.0,-11.25
-128.0,40.0,-11.199999809265137
-128.0,41.0,-10.0
