x,y,z
-133.0,38.0,-5.079999923706055
-133.0,39.0,-4.949999809265137
-133.0,40.0,-4.730000019073486
-133.0,41.0,-3.9100000858306885
-133.0,42.0,-3.8399999141693115
-133.0,43.0,-3.8399999141693115
-133.0,44.0,-4.050000190734863
-133.0,45.0,-4.150000095367432
-133.0,46.0,-4.010000228881836
-133.0,47.0,-3.9700000286102295
-133.0,48.0,-3.799999952316284
-133.0,49.0,-3.319999933242798
-133.0,50.0,-3.430000066757202
-133.0,51.0,-3.7100000381469727
-133.0,52.0,-3.7200000286102295
-133.0,53.0,-4.070000171661377
-133.0,54.0,-3.450000047683716
-132.0,38.0,-5.079999923706055
-132.0,39.0,-4.869999885559082
-132.0,40.0,-4.619999885559082
-132.0,41.0,-3.940000057220459
-132.0,42.0,-3.75
-132.0,43.0,-3.7100000381469727
-132.0,44.0,-3.880000114440918
-132.0,45.0,-3.940000057220459
-132.0,46.0,-3.7699999809265137
-132.0,47.0,-3.569999933242798
-132.0,48.0,-3.359999895095825
-132.0,49.0,-3.1600000858306885
-132.0,50.0,-3.2200000286102295
-132.0,51.0,-3.5799999237060547
-132.0,52.0,-3.619999885559082
-132.0,53.0,-3.9000000953674316
-132.0,54.0,-0.4399999976158142
-131.0,38.0,-4.989999771118164
-131.0,39.0,-4.78000020980835
-131.0,40.0,-4.579999923706055
-131.0,41.0,-3.8499999046325684
-131.0,42.0,-3.5999999046325684
-131.0,43.0,-3.75
-131.0,44.0,-3.759999990463257
-131.0,45.0,-3.7100000381469727
-131.0,46.0,-3.25
-131.0,47.0,-3.009999990463257
-131.0,48.0,-3.0299999713897705
-131.0,49.0,-3.0999999046325684
-131.0,50.0,-3.0299999713897705
-131.0,51.0,-3.359999895095825
-131.0,52.0,-3.8399999141693115
-131.0,53.0,-2.369999885559082
-131.0,54.0,-2.5
-130.0,38.0,-5.050000190734863
-130.0,39.0,-4.769999980926514
-130.0,40.0,-4.659999847412109
-130.0,41.0,-3.7899999618530273
-130.0,42.0,-3.3299999237060547
-130.0,43.0,-3.619999885559082
-130.0,44.0,-3.5999999046325684
-130.0,45.0,-2.950000047683716
-130.0,46.0,-2.619999885559082
-130.0,47.0,-2.509999990463257
-130.0,48.0,-2.930000066757202
-130.0,49.0,-2.930000066757202
-130.0,50.0,-2.559999942779541
-130.0,51.0,-2.930000066757202
-130.0,52.0,-2.8399999141693115
-130.0,53.0,-2.700000047683716
-130.0,54.0,-1.0199999809265137
-129.0,38.0,-4.949999809265137
-129.0,39.0,-4.800000190734863
-129.0,40.0,-4.760000228881836
-129.0,41.0,-3.7100000381469727
-129.0,42.0,-3.3299999237060547
-129.0,43.0,-3.6600000858306885
-129.0,44.0,-3.559999942779541
-129.0,45.0,-2.809999942779541
-129.0,46.0,-2.740000009536743
-129.0,47.0,-2.6600000858306885
-129.0,48.0,-2.7300000190734863
-129.0,49.0,-2.7100000381469727
-129.0,50.0,-2.869999885559082
-129.0,51.0,-2.3499999046325684
-129.0,52.0,-3.0399999618530273
-129.0,53.0,-0.8199999928474426
-129.0,54.0,0.18000000715255737
-128.0,38.0,-4.980000019073486
-128.0,39.0,-4.840000152587891
-128.0,40.0,-4.699999809265137
-128.0,41.0,-3.8399999141693115
-128.0,42.0,-3.3499999046325684
-128.0,43.0,-3.450000047683716
-128.0,44.0,-3.4600000381469727
-128.0,45.0,-3.009999990463257
-128.0,46.0,-3.0799999237060547
-128.0,47.0,-3.059999942779541
-128.0,48.0,-2.9700000286102295
-128.0,49.0,-3.140000104904175
-128.0,50.0,-3.390000104904175
-128.0,51.0,-0.9900000095367432
-128.0,52.0,-1.0
-128.0,53.0,0.009999999776482582
-128.0,54.0,0.6499999761581421
-127.0,38.0,-4.980000019073486
-127.0,39.0,-4.860000133514404
-127.0,40.0,-4.820000171661377
-127.0,41.0,-3.7799999713897705
-127.0,42.0,-2.9600000381469727
-127.0,43.0,-3.0799999237060547
-127.0,44.0,-3.3299999237060547
-127.0,45.0,-3.390000104904175
-127.0,46.0,-3.509999990463257
-127.0,47.0,-3.5299999713897705
-127.0,48.0,-3.5799999237060547
-127.0,49.0,-3.5799999237060547
-127.0,50.0,-2.359999895095825
-127.0,51.0,0.09000000357627869
-127.0,52.0,0.2199999988079071
-127.0,53.0,0.6700000166893005
-127.0,54.0,1.1299999952316284
-126.0,38.0,-4.920000076293945
-126.0,39.0,-4.900000095367432
-126.0,40.0,-4.929999828338623
-126.0,41.0,-3.880000114440918
-126.0,42.0,-3.140000104904175
-126.0,43.0,-3.1500000953674316
-126.0,44.0,-3.640000104904175
-126.0,45.0,-3.7100000381469727
-126.0,46.0,-4.039999961853027
-126.0,47.0,-4.210000038146973
-126.0,48.0,-3.880000114440918
-126.0,49.0,-3.1700000762939453
-126.0,50.0,-1.0299999713897705
-126.0,51.0,0.3499999940395355
-126.0,52.0,1.1200000047683716
-126.0,53.0,1.1799999475479126
-126.0,54.0,1.1299999952316284
-125.0,38.0,-4.940000057220459
-125.0,39.0,-4.710000038146973
-125.0,40.0,-3.9600000381469727
-125.0,41.0,-3.369999885559082
-125.0,42.0,-3.559999942779541
-125.0,43.0,-3.490000009536743
-125.0,44.0,-3.880000114440918
-125.0,45.0,-4.010000228881836
-125.0,46.0,-3.430000066757202
-125.0,47.0,-3.869999885559082
-125.0,48.0,-3.369999885559082
-125.0,49.0,-4.670000076293945
-125.0,50.0,0.5799999833106995
-125.0,51.0,0.4399999976158142
-125.0,52.0,1.5399999618530273
-125.0,53.0,1.3600000143051147
-125.0,54.0,1.0299999713897705
-124.0,38.0,-4.559999942779541
-124.0,39.0,-3.890000104904175
-124.0,40.0,-3.880000114440918
-124.0,41.0,-3.609999895095825
-124.0,42.0,-2.5
-124.0,43.0,-1.5800000429153442
-124.0,44.0,-1.7999999523162842
-124.0,45.0,-2.190000057220459
-124.0,46.0,-2.390000104904175
-124.0,47.0,-2.4200000762939453
-124.0,48.0,-4.010000228881836
-124.0,49.0,-0.800000011920929
-124.0,50.0,-0.2800000011920929
-124.0,51.0,0.9800000190734863
-124.0,52.0,1.559999942779541
-124.0,53.0,1.340000033378601
-124.0,54.0,1.0499999523162842
-123.0,38.0,-3.180000066757202
-123.0,39.0,-2.559999942779541
-123.0,40.0,0.3199999928474426
-123.0,41.0,0.6700000166893005
-123.0,42.0,0.9900000095367432
-123.0,43.0,0.7300000190734863
-123.0,44.0,-1.3600000143051147
-123.0,45.0,-0.9700000286102295
-123.0,46.0,-0.7200000286102295
-123.0,47.0,-0.8199999928474426
-123.0,48.0,0.4000000059604645
-123.0,49.0,-0.3700000047683716
-123.0,50.0,-0.30000001192092896
-123.0,51.0,1.5800000429153442
-123.0,52.0,1.3700000047683716
-123.0,53.0,1.1399999856948853
-123.0,54.0,0.9100000262260437
-122.0,38.0,-2.0199999809265137
-122.0,39.0,-0.25
-122.0,40.0,-1.4700000286102295
