x,y,z
-133.0,38.0,-7.28000020980835
-133.0,39.0,-7.150000095367432
-133.0,40.0,-6.920000076293945
-133.0,41.0,-6.119999885559082
-133.0,42.0,-6.050000190734863
-133.0,43.0,-6.03000020980835
-133.0,44.0,-6.199999809265137
-133.0,45.0,-6.269999980926514
-133.0,46.0,-6.179999828338623
-133.0,47.0,-6.139999866485596
-133.0,48.0,-5.980000019073486
-133.0,49.0,-5.480000019073486
-133.0,50.0,-5.570000171661377
-133.0,51.0,-5.789999961853027
-133.0,52.0,-6.039999961853027
-133.0,53.0,-6.210000038146973
-133.0,54.0,-7.210000038146973
-132.0,38.0,-7.28000020980835
-132.0,39.0,-7.059999942779541
-132.0,40.0,-6.829999923706055
-132.0,41.0,-6.159999847412109
-132.0,42.0,-5.929999828338623
-132.0,43.0,-5.889999866485596
-132.0,44.0,-6.059999942779541
-132.0,45.0,-6.099999904632568
-132.0,46.0,-5.940000057220459
-132.0,47.0,-5.75
-132.0,48.0,-5.519999980926514
-132.0,49.0,-5.340000152587891
-132.0,50.0,-5.389999866485596
-132.0,51.0,-5.940000057220459
-132.0,52.0,-5.900000095367432
-132.0,53.0,-8.9399995803833
-132.0,54.0,-16.81999969482422
-131.0,38.0,-7.190000057220459
-131.0,39.0,-6.960000038146973
-131.0,40.0,-6.78000020980835
-131.0,41.0,-6.059999942779541
-131.0,42.0,-5.78000020980835
-131.0,43.0,-5.929999828338623
-131.0,44.0,-5.920000076293945
-131.0,45.0,-5.880000114440918
-131.0,46.0,-5.429999828338623
-131.0,47.0,-5.199999809265137
-131.0,48.0,-5.230000019073486
-131.0,49.0,-5.269999980926514
-131.0,50.0,-5.460000038146973
-131.0,51.0,-5.730000019073486
-131.0,52.0,-8.0600004196167
-131.0,53.0,-14.920000076293945
-131.0,54.0,-17.520000457763672
-130.0,38.0,-7.25
-130.0,39.0,-6.940000057220459
-130.0,40.0,-6.840000152587891
-130.0,41.0,-5.960000038146973
-130.0,42.0,-5.519999980926514
-130.0,43.0,-5.800000190734863
-130.0,44.0,-5.75
-130.0,45.0,-5.289999961853027
-130.0,46.0,-4.949999809265137
-130.0,47.0,-5.070000171661377
-130.0,48.0,-5.849999904632568
-130.0,49.0,-5.880000114440918
-130.0,50.0,-5.429999828338623
-130.0,51.0,-5.679999828338623
-130.0,52.0,-7.599999904632568
-130.0,53.0,-15.6899995803833
-130.0,54.0,-20.65999984741211
-129.0,38.0,-7.130000114440918
-129.0,39.0,-6.960000038146973
-129.0,40.0,-6.909999847412109
-129.0,41.0,-5.880000114440918
-129.0,42.0,-5.510000228881836
-129.0,43.0,-5.78000020980835
-129.0,44.0,-5.690000057220459
-129.0,45.0,-5.139999866485596
-129.0,46.0,-5.059999942779541
-129.0,47.0,-5.789999961853027
-129.0,48.0,-6.190000057220459
-129.0,49.0,-6.079999923706055
-129.0,50.0,-5.769999980926514
-129.0,51.0,-6.989999771118164
-129.0,52.0,-14.0
-129.0,53.0,-17.450000762939453
-129.0,54.0,-19.190000534057617
-128.0,38.0,-7.130000114440918
-128.0,39.0,-6.889999866485596
-128.0,40.0,-6.78000020980835
-128.0,41.0,-5.809999942779541
-128.0,42.0,-5.650000095367432
-128.0,43.0,-5.71999979019165
-128.0,44.0,-5.679999828338623
-128.0,45.0,-5.300000190734863
-128.0,46.0,-5.230000019073486
-128.0,47.0,-5.090000152587891
-128.0,48.0,-6.829999923706055
-128.0,49.0,-7.210000038146973
-128.0,50.0,-8.3100004196167
-128.0,51.0,-10.6899995803833
-128.0,52.0,-13.859999656677246
-128.0,53.0,-18.530000686645508
-128.0,54.0,-19.110000610351562
-127.0,38.0,-7.0
-127.0,39.0,-6.829999923706055
-127.0,40.0,-6.480000019073486
-127.0,41.0,-5.710000038146973
-127.0,42.0,-5.210000038146973
-127.0,43.0,-5.380000114440918
-127.0,44.0,-5.579999923706055
-127.0,45.0,-5.409999847412109
-127.0,46.0,-5.840000152587891
-127.0,47.0,-5.340000152587891
-127.0,48.0,-8.460000038146973
