x,y,z
-133.0,38.0,-5.760000228881836
-133.0,39.0,-5.639999866485596
-133.0,40.0,-5.409999847412109
-133.0,41.0,-4.599999904632568
-133.0,42.0,-4.53000020980835
-133.0,43.0,-4.519999980926514
-133.0,44.0,-4.71999979019165
-133.0,45.0,-4.809999942779541
-133.0,46.0,-4.690000057220459
-133.0,47.0,-4.650000095367432
-133.0,48.0,-4.480000019073486
-133.0,49.0,-3.990000009536743
-133.0,50.0,-4.099999904632568
-133.0,51.0,-4.360000133514404
-133.0,52.0,-4.440000057220459
-133.0,53.0,-4.739999771118164
-133.0,54.0,-4.630000114440918
-132.0,38.0,-5.769999980926514
-132.0,39.0,-5.550000190734863
-132.0,40.0,-5.309999942779541
-132.0,41.0,-4.630000114440918
-132.0,42.0,-4.429999828338623
-132.0,43.0,-4.389999866485596
-132.0,44.0,-4.559999942779541
-132.0,45.0,-4.619999885559082
-132.0,46.0,-4.449999809265137
-132.0,47.0,-4.25
-132.0,48.0,-4.03000020980835
-132.0,49.0,-3.8399999141693115
-132.0,50.0,-3.9000000953674316
-132.0,51.0,-4.309999942779541
-132.0,52.0,-4.329999923706055
-132.0,53.0,-5.480000019073486
-132.0,54.0,-8.630000114440918
-131.0,38.0,-5.679999828338623
-131.0,39.0,-5.460000038146973
-131.0,40.0,-5.269999980926514
-131.0,41.0,-4.539999961853027
-131.0,42.0,-4.28000020980835
-131.0,43.0,-4.429999828338623
-131.0,44.0,-4.429999828338623
-131.0,45.0,-4.389999866485596
-131.0,46.0,-3.930000066757202
-131.0,47.0,-3.690000057220459
-131.0,48.0,-3.7200000286102295
-131.0,49.0,-3.7799999713897705
-131.0,50.0,-3.7899999618530273
-131.0,51.0,-4.099999904632568
-131.0,52.0,-5.159999847412109
-131.0,53.0,-8.649999618530273
-131.0,54.0,-10.010000228881836
-130.0,38.0,-5.739999771118164
-130.0,39.0,-5.449999809265137
-130.0,40.0,-5.340000152587891
-130.0,41.0,-4.46999979019165
-130.0,42.0,-4.010000228881836
-130.0,43.0,-4.300000190734863
-130.0,44.0,-4.269999980926514
-130.0,45.0,-4.119999885559082
-130.0,46.0,-3.7899999618530273
-130.0,47.0,-3.309999942779541
-130.0,48.0,-3.8399999141693115
-130.0,49.0,-3.8499999046325684
-130.0,50.0,-3.990000009536743
-130.0,51.0,-4.300000190734863
-130.0,52.0,-5.21999979019165
-130.0,53.0,-9.199999809265137
-130.0,54.0,-10.84000015258789
-129.0,38.0,-5.630000114440918
-129.0,39.0,-5.480000019073486
-129.0,40.0,-5.429999828338623
-129.0,41.0,-4.389999866485596
-129.0,42.0,-4.010000228881836
-129.0,43.0,-4.320000171661377
-129.0,44.0,-4.230000019073486
-129.0,45.0,-3.9700000286102295
-129.0,46.0,-3.9000000953674316
-129.0,47.0,-4.230000019073486
-129.0,48.0,-4.460000038146973
-129.0,49.0,-4.389999866485596
-129.0,50.0,-4.320000171661377
-129.0,51.0,-4.670000076293945
-129.0,52.0,-8.520000457763672
-129.0,53.0,-9.130000114440918
-129.0,54.0,-8.170000076293945
-128.0,38.0,-5.650000095367432
-128.0,39.0,-5.480000019073486
-128.0,40.0,-5.349999904632568
-128.0,41.0,-4.460000038146973
-128.0,42.0,-4.5
-128.0,43.0,-4.590000152587891
-128.0,44.0,-4.570000171661377
-128.0,45.0,-4.150000095367432
-128.0,46.0,-4.150000095367432
-128.0,47.0,-4.070000171661377
-128.0,48.0,-4.900000095367432
-128.0,49.0,-5.170000076293945
-128.0,50.0,-4.929999828338623
-128.0,51.0,-4.869999885559082
-128.0,52.0,-7.429999828338623
-128.0,53.0,-7.980000019073486
-128.0,54.0,-7.860000133514404
-127.0,38.0,-5.610000133514404
-127.0,39.0,-5.480000019073486
-127.0,40.0,-5.340000152587891
-127.0,41.0,-4.380000114440918
-127.0,42.0,-4.079999923706055
-127.0,43.0,-4.230000019073486
-127.0,44.0,-4.460000038146973
-127.0,45.0,-4.019999980926514
-127.0,46.0,-4.239999771118164
-127.0,47.0,-4.099999904632568
-127.0,48.0,-5.099999904632568
-127.0,49.0,-5.610000133514404
-127.0,50.0,-4.53000020980835
-127.0,51.0,-9.239999771118164
-127.0,52.0,-9.359999656677246
-127.0,53.0,-7.289999961853027
-127.0,54.0,-8.380000114440918
