lat,lon,q,age
49.62,-129.98,366.0,0.81696123
44.68,-125.29,79.0,9.1196241
44.66,-125.27,81.0,9.1196241
44.66,-125.27,93.0,9.1196241
44.66,-125.26,77.0,9.1196241
44.66,-125.25,81.0,9.1196241
44.66,-125.36,70.0,8.9653473
44.66,-125.35,30.0,9.1196241
44.66,-125.35,32.0,9.1196241
44.66,-125.35,33.0,9.1196241
44.65,-125.35,42.0,9.1559649
45.0,-125.3,60.0,9.0883245
45.01,-125.3,60.0,9.0883245
45.0,-125.31,102.0,9.0883245
45.0,-125.32,84.0,9.0883245
44.99,-125.32,85.0,9.0883245
44.99,-125.33,88.0,9.0883245
44.94,-125.37,72.0,8.987608
44.94,-125.36,124.0,8.987608
44.93,-125.35,72.0,9.1318445
47.06,-125.89,100.0,7.6291208
47.06,-125.89,99.0,7.6291208
47.07,-125.9,93.0,7.6291208
47.07,-125.9,88.0,7.6291208
47.07,-125.91,88.0,7.6291208
47.08,-125.9,89.0,7.6291208
47.07,-125.91,83.0,7.6291208
47.08,-125.91,75.0,7.6291208
47.08,-125.92,83.0,7.6291208
47.08,-125.94,109.0,7.6291208
47.08,-125.94,67.0,7.6291208
46.97,-125.93,104.0,7.6286254
46.98,-125.94,90.0,7.6286254
46.97,-125.99,100.0,7.3567901
46.97,-125.98,111.0,7.3567901
46.97,-125.98,96.0,7.3567901
46.98,-125.97,89.0,7.3567901
46.98,-125.96,75.0,7.3567901
46.98,-125.95,81.0,7.3567901
46.98,-125.94,78.0,7.6286254
46.98,-125.94,82.0,7.6286254
46.99,-125.97,87.0,7.3567901
47.0,-125.96,89.0,7.3567901
46.99,-125.96,82.0,7.3567901
46.99,-125.94,83.0,7.6286254
46.99,-125.95,97.0,7.3567901
50.55,-131.62,91.4,4.6901741
48.75,-127.75,200.0,2.9062791
47.45,-127.27,57.8,4.3656092
46.3,-128.0,50.7,3.1420634
47.9,-127.2,161.0,4.359262
47.15,-130.12,189.0,2.7302463
46.73,-131.58,22.8,6.8137112
41.07,-132.37,40.2,10.360166
47.9,-127.65,304.0,3.1907601
47.25,-131.03,110.0,5.1738672
44.65,-125.14,94.0,9.5422888
44.65,-125.07,41.0,9.5422888
44.65,-125.06,42.0,9.5422888
44.65,-125.02,79.0,9.8048306
44.65,-124.97,77.0,9.8048306
47.23,-126.15,26.0,6.8040028
47.23,-126.15,27.0,6.8040028
47.24,-126.14,21.0,7.0875106
47.29,-126.08,104.0,7.1277666
47.29,-126.08,99.0,7.1277666
47.3,-126.09,101.0,7.1277666
47.3,-126.09,108.0,7.1277666
47.3,-126.09,77.0,7.1277666
47.29,-126.11,93.0,7.1277666
47.28,-126.12,96.0,7.1277666
47.28,-126.12,99.0,7.1277666
47.28,-126.13,104.0,7.1277666
47.27,-126.14,159.0,7.1277666
47.27,-126.14,142.0,7.1277666
47.27,-126.15,137.0,6.8401093
47.27,-126.15,141.0,6.8401093
47.27,-126.15,156.0,6.8401093
47.25,-126.17,138.0,6.8040028
47.44,-126.38,106.0,6.4628758
47.44,-126.38,108.0,6.4628758
47.44,-126.38,112.0,6.4628758
47.45,-126.36,109.0,6.5422029
47.45,-126.36,118.0,6.5422029
47.46,-126.33,102.0,6.8071642
47.46,-126.29,124.0,6.8071642
47.46,-126.29,108.0,6.8071642
47.46,-126.26,114.0,6.8071642
47.46,-126.22,122.0,7.0861001
47.46,-126.22,117.0,7.0861001
47.46,-126.22,89.0,7.0861001
47.46,-126.19,118.0,7.0861001
47.46,-126.18,139.0,7.0861001
47.46,-126.16,57.0,7.0861001
44.95,-125.2,71.0,9.2965679
44.95,-125.22,61.0,9.2965679
44.95,-125.23,55.0,9.2965679
44.95,-125.25,28.0,9.0883245
