lat,lon,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,z
48.75,-127.75,2.9062791,200.0,277.5185384,299.1586169,-25.61454201,3096.673436,3222.245155,-2546.0
47.9,-127.2,4.359262,161.0,226.597009,244.2663766,-11.43339062,3230.759601,3362.07787,-2587.0
47.9,-127.65,3.1907601,304.0,264.8582972,285.5111674,3.032176971,3125.19446,3251.988508,-2652.0
48.68,-126.87,5.5437579,60.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294,-1256.0
48.69,-126.87,5.5437579,63.7,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294,-1242.0
48.69,-126.88,5.5437579,68.9,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294,-1285.0
48.69,-126.86,5.5437579,53.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294,-1202.0
48.67,-126.85,5.752306,59.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474,-1275.0
47.94,-128.9,0.43398958,84.0,718.1596621,774.159638,-4.45633316,2730.572599,2840.454282,-2399.0
47.92,-128.85,0.66285837,136.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2578.0
47.9,-128.74,0.91232389,440.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2630.0
47.74,-127.91,2.9722376,345.0,274.4219822,295.8206004,-0.58204329,3103.406253,3229.266521,-2635.0
47.73,-127.88,2.9722376,129.0,274.4219822,295.8206004,-0.58204329,3103.406253,3229.266521,-2641.0
47.87,-128.59,1.1679138,439.0,437.7793418,471.9160858,-5.80466938,2878.245212,2994.455721,-2628.0
47.85,-128.47,1.414219,334.0,397.8343928,428.8563473,-8.135784149,2916.22329,3034.061431,-2664.0
47.89,-128.66,0.91232389,900.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2619.0
47.79,-128.21,2.1661963,267.0,321.4487595,346.5143873,-3.510086775,3015.130126,3137.207131,-2653.0
48.67,-126.86,5.5437579,62.2,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294,-1270.0
48.69,-126.9,5.5437579,7.5,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294,-1313.0
48.68,-126.88,5.5437579,58.0,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294,-1277.0
48.67,-126.88,5.5437579,59.4,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294,-1313.0
48.67,-126.87,5.5437579,58.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294,-1280.0
