lat,lon,t,bath
49.62,-129.98,0.81696123,-2408.0
44.68,-125.29,9.1196241,-2114.0
44.66,-125.27,9.1196241,-2269.0
44.66,-125.27,9.1196241,-2269.0
44.66,-125.26,9.1196241,-2280.0
44.66,-125.25,9.1196241,-2281.0
44.66,-125.36,8.9653473,-2846.0
44.66,-125.35,9.1196241,-2810.0
44.66,-125.35,9.1196241,-2810.0
44.66,-125.35,9.1196241,-2810.0
44.65,-125.35,9.1559649,-2839.0
45.0,-125.3,9.0883245,-2050.0
45.01,-125.3,9.0883245,-1966.0
45.0,-125.31,9.0883245,-2038.0
45.0,-125.32,9.0883245,-1887.0
44.99,-125.32,9.0883245,-1933.0
44.99,-125.33,9.0883245,-1979.0
44.94,-125.37,8.987608,-2463.0
44.94,-125.36,8.987608,-2424.0
44.93,-125.35,9.1318445,-2430.0
47.06,-125.89,7.6291208,-2075.0
47.06,-125.89,7.6291208,-2075.0
47.07,-125.9,7.6291208,-2103.0
47.07,-125.9,7.6291208,-2103.0
47.07,-125.91,7.6291208,-2098.0
47.08,-125.9,7.6291208,-2100.0
47.07,-125.91,7.6291208,-2098.0
47.08,-125.91,7.6291208,-2111.0
47.08,-125.92,7.6291208,-2105.0
47.08,-125.94,7.6291208,-1936.0
47.08,-125.94,7.6291208,-1936.0
46.97,-125.93,7.6286254,-2314.0
46.98,-125.94,7.6286254,-2330.0
46.97,-125.99,7.3567901,-2523.0
46.97,-125.98,7.3567901,-2473.0
46.97,-125.98,7.3567901,-2473.0
46.98,-125.97,7.3567901,-2389.0
46.98,-125.96,7.3567901,-2339.0
46.98,-125.95,7.3567901,-2281.0
46.98,-125.94,7.6286254,-2330.0
46.98,-125.94,7.6286254,-2330.0
46.99,-125.97,7.3567901,-2405.0
47.0,-125.96,7.3567901,-2390.0
46.99,-125.96,7.3567901,-2366.0
46.99,-125.94,7.6286254,-2347.0
46.99,-125.95,7.3567901,-2315.0
50.55,-131.62,4.6901741,-2851.0
48.75,-127.75,2.9062791,-2546.0
47.45,-127.27,4.3656092,-2550.0
46.3,-128.0,3.1420634,-2792.0
47.9,-127.2,4.359262,-2587.0
47.15,-130.12,2.7302463,-2708.0
46.73,-131.58,6.8137112,-3239.0
41.07,-132.37,10.360166,-3132.0
