lat,lon,q,age
44.675,-125.285,79.0,9.1196241
44.66,-125.271,81.0,9.1196241
44.66,-125.266,93.0,9.1196241
44.6617,-125.26,77.0,9.1196241
44.66,-125.25,81.0,9.1196241
44.6617,-125.36,70.0,8.9653473
44.6633,-125.353,30.0,8.9653473
44.6617,-125.348,32.0,9.1196241
44.6583,-125.345,33.0,9.1196241
44.65,-125.348,42.0,9.1559649
45.0,-125.321,84.0,9.0883245
44.9933,-125.32,85.0,9.0883245
44.9867,-125.326,88.0,9.0883245
44.94,-125.373,72.0,8.987608
44.9367,-125.361,124.0,8.987608
44.9333,-125.353,72.0,8.987608
44.6483,-125.141,94.0,9.5422888
44.6467,-125.066,41.0,9.5422888
44.6483,-125.06,42.0,9.5422888
44.6517,-125.016,79.0,9.7679405
44.65,-124.966,77.0,9.8048306
44.95,-125.201,71.0,9.2965679
44.95,-125.216,61.0,9.2965679
44.95,-125.231,55.0,9.2965679
44.95,-125.25,28.0,9.0883245
44.95,-125.406,89.0,8.9141588
44.9483,-125.366,95.0,8.987608
44.9483,-125.365,99.0,8.987608
44.95,-125.371,102.0,8.9141588
44.9483,-125.37,104.0,8.987608
44.95,-125.383,113.0,8.9141588
44.9517,-125.4,110.0,8.9141588
44.95,-125.416,125.0,8.9141588
44.9333,-125.271,125.0,9.1318445
44.9333,-125.271,202.0,9.1318445
44.95,-125.465,122.0,8.6826057
44.9517,-125.516,152.0,8.6826057
44.9517,-125.518,139.0,8.6826057
44.9517,-125.583,165.0,8.4492979
44.9483,-125.635,113.0,8.4941263
44.6483,-125.271,65.0,9.1559649
44.6483,-125.295,70.0,9.1559649
44.6483,-125.295,73.0,9.1559649
44.6483,-125.315,62.0,9.1559649
44.6483,-125.315,52.0,9.1559649
44.65,-125.341,105.0,9.1559649
44.6483,-125.366,32.0,8.9884195
44.6483,-125.398,101.0,8.9884195
44.65,-125.466,94.0,8.7853642
44.7967,-124.0633,32.0,9.8749847
44.7967,-124.065,29.0,9.8749847
43.155,-124.22,42.0,9.2272873
43.15,-124.22,42.0,8.97577
44.7983,-124.06,34.0,9.8749847
44.2217,-124.47,39.9,9.8100004
44.4967,-124.42,44.7,9.8749847
44.8583,-124.28,46.2,9.8163719
43.2633,-124.59,43.2,9.4671307
44.06,-124.65,48.8,9.5543547
44.65,-130.85,190.0,1.9146042
44.4833333,-129.8833333,40.0,0.78107381
44.6333333,-130.1333333,80.0,0.36031222
44.61666666,-130.5166666,560.0,0.67423803
44.65,-130.7666666,110.0,1.9146042
43.85,-130.917,134.0,5.6550808
44.635,-125.0667,140.0,9.5422888
44.6467,-125.1433,121.0,9.5422888
44.6183,-125.06,116.0,9.5422888
44.6617,-125.1367,142.0,9.5507097
44.6233,-125.0633,62.0,9.5422888
44.655,-125.5683,93.0,8.5858335
44.65,-125.5717,103.0,8.6269598
44.6417,-125.575,103.0,8.6269598
44.6467,-125.5833,106.0,8.6269598
44.6483,-125.585,83.0,8.6269598
44.66,-125.5967,117.0,8.5858335
44.655,-125.6883,116.0,8.4469986
44.6517,-125.7233,106.0,8.4469986
44.6533,-125.7317,88.0,8.4469986
44.6783,-125.66,55.0,8.4469986
44.5083,-126.665,73.0,6.5422888
44.3283,-127.4283,155.0,5.4407101
44.665,-125.58,93.37,8.5858335
44.58333,-127.30333,151.99,5.4504809
44.80833,-127.96833,140.26,4.1015091
44.95,-128.385,118.91,3.2205846
44.66833,-125.57833,110.12,8.5858335
44.83667,-125.60333,148.64,8.5421562
44.91167,-124.61167,45.22,9.8163719
44.96833,-125.1,72.44,9.5523081
44.86333,-125.13167,82.07,9.5314922
44.87333,-125.28,87.09,9.1318445
44.81833,-125.58667,130.63,8.5421562
44.64667,-125.58333,123.52,8.6269598
44.6753,-125.286,79.0,9.1196241
44.6608,-125.273,81.0,9.1196241
44.661,-125.268,93.0,9.1196241
44.662,-125.261,77.0,9.1196241
44.6613,-125.251,81.0,9.1196241
44.6625,-125.361,70.0,8.9653473
44.6635,-125.354,30.0,8.9653473
44.6625,-125.349,32.0,9.1196241
44.6585,-125.345,33.0,9.1196241
44.6505,-125.35,42.0,9.1196241
44.9938,-125.321,85.0,9.0883245
44.988,-125.327,88.0,9.0883245
44.941,-125.374,72.0,8.987608
44.9377,-125.363,124.0,8.987608
44.9347,-125.354,72.0,8.987608
44.6492,-125.142,94.0,9.5422888
44.6478,-125.068,41.0,9.5422888
44.6487,-125.06,42.0,9.5422888
44.6517,-125.017,79.0,9.7679405
44.6503,-124.967,77.0,9.7679405
44.95,-125.203,71.0,9.2965679
44.9508,-125.217,61.0,9.2965679
44.9512,-125.233,55.0,9.2965679
44.951,-125.25,28.0,9.0883245
44.9507,-125.408,89.0,8.9141588
44.9492,-125.368,95.0,8.987608
44.9493,-125.365,99.0,8.987608
