long,lat,FA,age,q_ihfc,q_ps,q_stein,ps_z,stein_z,bathy
-129.9666696659997,44.050000880999846,-29.585655212402344,2.0954560898952352,39.312845014439944,326.82959565569337,352.3148051998308,3006.649159687615,4202.691722007845,-3263.99971206403
-129.9666696659997,44.16666754999984,3.1491007804870605,1.6990091279468866,38.40669612900303,362.96337363709415,391.26618879503724,2956.2111552488536,3653.6206861490964,-2765.5458577552276
-129.9666696659997,44.28333421899984,-27.107563018798828,1.3938560389481984,40.29186386489495,400.72985427364074,431.977588391068,2913.215881557273,3309.134649919012,-3027.5809544508625
-129.9666696659997,44.40000088799984,-2.1012868881225586,1.2266614027469553,46.3951210508712,427.1676040604269,460.47687606226754,2887.6416152021116,3149.214841901032,-2309.9925023367136
-129.9666696659997,44.51666755699984,9.750396728515623,0.6961843695000637,80.11132569826285,567.020192076222,611.2347571061371,2792.031822347767,2776.9055268627135,-2681.019182653297
-129.9666696659997,44.63333422599983,-4.513768196105957,0.6042859590755629,66.56360403300519,608.610453221931,656.0681043566015,2772.0754123156967,2733.2839549225937,-2848.48480624153
-129.9666696659997,44.75000089499983,-10.102933883666992,0.5686883543557422,81.18136711344313,627.3696303231752,676.2900668532186,2763.939999637377,2718.0433521986424,-2757.51333201485
-129.9666696659997,44.86666756399983,-6.682040214538574,0.726130621476684,92.10350319966493,555.2048907750648,598.4981333987791,2798.246544206121,2792.451972997832,-2715.0019370556033
-129.9666696659997,44.98333423299982,-6.201231002807617,0.9263141694709919,102.20738433235233,491.56562509568886,529.8964651627435,2836.8582576695967,2913.1911483053977,-2763.4961846882975
-129.9666696659997,45.10000090199982,-2.550823211669922,1.126497717465312,112.31126546504034,445.7542585521082,480.51286314420787,2871.478088707128,3063.1839442209134,-2594.9921553287563
-129.9666696659997,45.21666757099982,-0.0335992276668548,1.3266812654596323,122.41514659772837,410.74980015048175,442.77886014441015,2903.1357773986388,3242.4303607443735,-2494.482786033992
-129.9666696659997,45.33333423999981,5.402774810791016,1.5268648134539402,132.51902773041576,382.87795841151933,412.7336542531793,2932.48229980903,3450.9303978757634,-2410.496421697094
-129.9666696659997,45.45000090899981,4.748456954956055,1.7270483614482723,142.62290886310436,360.00489794029863,388.0770198744142,2959.960242061652,3688.684055615124,-2382.0160502223466
-129.9666696659997,45.56666757799981,3.1678214073181152,1.9272319094425927,152.7267899957924,340.7953576402224,367.3695761827805,2985.8867243573523,3955.6913339624157,-2430.997303359959
-129.9666696659997,45.683334246999806,3.723914384841919,1.8776910726265141,153.66657139846689,345.26184601680166,372.18434817172727,2979.6010387778033,3886.8891739407777,-2405.0025735523727
-129.9666696659997,45.8000009159998,12.739927291870115,1.6840210344566613,149.3172642877549,364.5750156239517,393.00350187867167,2954.1944261227136,3635.1132982397567,-2127.9853289298994
-129.9666696659997,45.9166675849998,25.099245071411133,1.4903509962868082,144.96795717704293,387.53985984302204,417.75907703169344,2927.279764375911,3410.7183236285746,-1592.4922754729325
-129.85000299699968,44.050000880999846,-28.688268661499023,2.2930712737375263,44.73355709696476,312.429390867887,336.7917148429881,3030.0011613504703,4519.234191250688,-3245.700008688029
-129.85000299699968,44.16666754999984,17.969100952148438,1.8966243117891777,43.82740821152785,343.53421844250926,370.3220052860607,2982.0129440110236,3912.9720797254668,-2114.401181056586
-129.85000299699968,44.28333421899984,-28.7110595703125,1.5001773498408295,42.921259326090954,386.2685567940862,416.3886415142575,2928.6860452073306,3421.4442095560407,-3475.639012538205
-129.85000299699968,44.40000088799984,15.674046516418455,1.1037303878924793,42.01511044065405,450.3282159260262,485.44348424647154,2867.70500746771,3044.6505807424082,-2346.9215357729936
-129.85000299699968,44.51666755699984,-1.4015188217163086,0.8175215442699775,43.46840178723908,523.2521912396909,564.0538564359506,2816.4591429759494,2843.9446385011324,-2834.506353198999
-129.85000299699968,44.63333422599983,-13.899537086486816,0.7792828088374609,56.667594841267544,535.9362228512773,577.7269514854343,2808.9694873002654,2821.6578190946047,-2885.5944692646776
-129.85000299699968,44.75000089499983,-9.323467254638672,0.7436852041176403,71.28535792170547,548.61299233123,591.3922181236419,2801.8301467786328,2801.869704230576,-2733.7042427675333
-129.85000299699968,44.86666756399983,-4.053483486175537,0.7080875993978174,85.9031210021443,562.234076946223,606.0754348106559,2794.5177939042605,2783.0066376736518,-2697.39985529598
-129.85000299699968,44.98333423299982,-6.259477615356445,0.897549529232992,96.21226077447307,499.3803475229595,538.3205566350318,2831.5868171852458,2894.0422324606234,-2640.5987792638316
-129.85000299699968,45.10000090199982,-4.000527858734131,1.0977330772273122,106.31614190716108,451.5566928240553,486.7677541558513,2866.704652220756,3039.831536726215,-2399.5094204790657
-129.85000299699968,45.21666757099982,-8.73755168914795,1.2979166252216325,116.4200230398491,415.27640980164114,447.6584414879063,2898.741503470168,3214.87446159975,-2713.6029503036666
