long,lat,h
-131,45,-10.47999954
-131,46,-10.06000042
-131,47,-9.859999657
-131,48,-9.899999619
-130,45,-9.829999924
-130,46,-9.470000267
-130,47,-10.5
-130,48,-12.03999996
-129,45,-9.680000305
-129,46,-9.56000042
-129,47,-11.85999966
-129,48,-12.92000008
-128,45,-9.739999771
-128,46,-9.399999619
-128,47,-9.050000191
-128,48,-14.31999969
-127,45,-9.699999809
-127,46,-10.80000019
-127,47,-9.199999809
-127,48,-18.82999992
-126,45,-9.699999809
-126,46,-10.80000019
-126,47,-10.35000038
-126,48,-10.39999962
