lat	long	q	age	q(t)	sqrt age	d(t)	q(t)
49.62	-129.98	366	0.81696123	8.7474	0.903859076	2642.968215	12.50194892
44.68	-125.29	79	9.1196241	1.8881	3.019871537	4095.934218	3.741881024
44.66	-125.27	81	9.1196241	1.9359	3.019871537	4095.934218	3.741881024
44.66	-125.27	93	9.1196241	2.2227	3.019871537	4095.934218	3.741881024
44.66	-125.26	77	9.1196241	1.8403	3.019871537	4095.934218	3.741881024
44.66	-125.25	81	9.1196241	1.9359	3.019871537	4095.934218	3.741881024
44.66	-125.36	70	8.9653473	1.673	2.99421898	4068.935778	3.773939072
44.66	-125.35	30	9.1196241	0.717	3.019871537	4095.934218	3.741881024
44.66	-125.35	32	9.1196241	0.7648	3.019871537	4095.934218	3.741881024
44.66	-125.35	33	9.1196241	0.7887	3.019871537	4095.934218	3.741881024
44.65	-125.35	42	9.1559649	1.0038	3.025882499	4102.293858	3.73444772
45	-125.3	60	9.0883245	1.434	3.014684809	4090.456788	3.748318884
45.01	-125.3	60	9.0883245	1.434	3.014684809	4090.456788	3.748318884
45	-125.31	102	9.0883245	2.4378	3.014684809	4090.456788	3.748318884
45	-125.32	84	9.0883245	2.0076	3.014684809	4090.456788	3.748318884
44.99	-125.32	85	9.0883245	2.0315	3.014684809	4090.456788	3.748318884
44.99	-125.33	88	9.0883245	2.1032	3.014684809	4090.456788	3.748318884
44.94	-125.37	72	8.987608	1.7208	2.997933955	4072.8314	3.769262488
44.94	-125.36	124	8.987608	2.9636	2.997933955	4072.8314	3.769262488
44.93	-125.35	72	9.1318445	1.7208	3.021894191	4098.072788	3.73937646
47.06	-125.89	100	7.6291208	2.39	2.762086313	3835.09614	4.091110385
47.06	-125.89	99	7.6291208	2.3661	2.762086313	3835.09614	4.091110385
47.07	-125.9	93	7.6291208	2.2227	2.762086313	3835.09614	4.091110385
47.07	-125.9	88	7.6291208	2.1032	2.762086313	3835.09614	4.091110385
47.07	-125.91	88	7.6291208	2.1032	2.762086313	3835.09614	4.091110385
47.08	-125.9	89	7.6291208	2.1271	2.762086313	3835.09614	4.091110385
47.07	-125.91	83	7.6291208	1.9837	2.762086313	3835.09614	4.091110385
47.08	-125.91	75	7.6291208	1.7925	2.762086313	3835.09614	4.091110385
47.08	-125.92	83	7.6291208	1.9837	2.762086313	3835.09614	4.091110385
47.08	-125.94	109	7.6291208	2.6051	2.762086313	3835.09614	4.091110385
47.08	-125.94	67	7.6291208	1.6013	2.762086313	3835.09614	4.091110385
46.97	-125.93	104	7.6286254	2.4856	2.761996633	3835.009445	4.091243221
46.98	-125.94	90	7.6286254	2.151	2.761996633	3835.009445	4.091243221
46.97	-125.99	100	7.3567901	2.39	2.712340336	3787.438268	4.166143846
46.97	-125.98	111	7.3567901	2.6529	2.712340336	3787.438268	4.166143846
46.97	-125.98	96	7.3567901	2.2944	2.712340336	3787.438268	4.166143846
46.98	-125.97	89	7.3567901	2.1271	2.712340336	3787.438268	4.166143846
46.98	-125.96	75	7.3567901	1.7925	2.712340336	3787.438268	4.166143846
46.98	-125.95	81	7.3567901	1.9359	2.712340336	3787.438268	4.166143846
46.98	-125.94	78	7.6286254	1.8642	2.761996633	3835.009445	4.091243221
46.98	-125.94	82	7.6286254	1.9598	2.761996633	3835.009445	4.091243221
46.99	-125.97	87	7.3567901	2.0793	2.712340336	3787.438268	4.166143846
47	-125.96	89	7.3567901	2.1271	2.712340336	3787.438268	4.166143846
46.99	-125.96	82	7.3567901	1.9598	2.712340336	3787.438268	4.166143846
46.99	-125.94	83	7.6286254	1.9837	2.761996633	3835.009445	4.091243221
46.99	-125.95	97	7.3567901	2.3183	2.712340336	3787.438268	4.166143846
50.55	-131.62	91.4	4.6901741	2.18446	2.165680978	3320.780468	5.217758346
48.75	-127.75	200	2.9062791	4.78	1.704781247	3008.598843	6.628416414
47.45	-127.27	57.8	4.3656092	1.38142	2.08940403	3263.98161	5.408240742
46.3	-128	50.7	3.1420634	1.21173	1.772586641	3049.861095	6.374864697
47.9	-127.2	161	4.359262	3.8479	2.087884575	3262.87085	5.41217658
47.15	-130.12	189	2.7302463	4.5171	1.652345696	2977.793103	6.83876263
46.73	-131.58	22.8	6.8137112	0.54492	2.610308641	3692.39946	4.328989999
41.07	-132.37	40.2	10.360166	0.96078	3.218721175	4313.02905	3.510711052
47.9	-127.65	304	3.1907601	7.2656	1.786269884	3058.383018	6.326031748
47.25	-131.03	110	5.1738672	2.629	2.274613638	3405.42676	4.96787666
44.65	-125.14	94	9.5422888	2.2466	3.089059533	4169.90054	3.658071293
44.65	-125.07	41	9.5422888	0.9799	3.089059533	4169.90054	3.658071293
44.65	-125.06	42	9.5422888	1.0038	3.089059533	4169.90054	3.658071293
