lat,lon,age,ihfc q,ps q
49.62,-129.98,0.81696123,8.7474,12.50194892
44.68,-125.29,9.1196241,1.8881,3.741881024
44.66,-125.27,9.1196241,1.9359,3.741881024
44.66,-125.27,9.1196241,2.2227,3.741881024
44.66,-125.26,9.1196241,1.8403,3.741881024
44.66,-125.25,9.1196241,1.9359,3.741881024
44.66,-125.36,8.9653473,1.673,3.773939072
44.66,-125.35,9.1196241,0.717,3.741881024
44.66,-125.35,9.1196241,0.7648,3.741881024
44.66,-125.35,9.1196241,0.7887,3.741881024
44.65,-125.35,9.1559649,1.0038,3.73444772
45,-125.3,9.0883245,1.434,3.748318884
45.01,-125.3,9.0883245,1.434,3.748318884
45,-125.31,9.0883245,2.4378,3.748318884
45,-125.32,9.0883245,2.0076,3.748318884
44.99,-125.32,9.0883245,2.0315,3.748318884
44.99,-125.33,9.0883245,2.1032,3.748318884
44.94,-125.37,8.987608,1.7208,3.769262488
44.94,-125.36,8.987608,2.9636,3.769262488
44.93,-125.35,9.1318445,1.7208,3.73937646
47.06,-125.89,7.6291208,2.39,4.091110385
47.06,-125.89,7.6291208,2.3661,4.091110385
47.07,-125.9,7.6291208,2.2227,4.091110385
47.07,-125.9,7.6291208,2.1032,4.091110385
47.07,-125.91,7.6291208,2.1032,4.091110385
47.08,-125.9,7.6291208,2.1271,4.091110385
47.07,-125.91,7.6291208,1.9837,4.091110385
47.08,-125.91,7.6291208,1.7925,4.091110385
47.08,-125.92,7.6291208,1.9837,4.091110385
47.08,-125.94,7.6291208,2.6051,4.091110385
47.08,-125.94,7.6291208,1.6013,4.091110385
46.97,-125.93,7.6286254,2.4856,4.091243221
46.98,-125.94,7.6286254,2.151,4.091243221
46.97,-125.99,7.3567901,2.39,4.166143846
46.97,-125.98,7.3567901,2.6529,4.166143846
46.97,-125.98,7.3567901,2.2944,4.166143846
46.98,-125.97,7.3567901,2.1271,4.166143846
46.98,-125.96,7.3567901,1.7925,4.166143846
46.98,-125.95,7.3567901,1.9359,4.166143846
46.98,-125.94,7.6286254,1.8642,4.091243221
46.98,-125.94,7.6286254,1.9598,4.091243221
46.99,-125.97,7.3567901,2.0793,4.166143846
47,-125.96,7.3567901,2.1271,4.166143846
46.99,-125.96,7.3567901,1.9598,4.166143846
46.99,-125.94,7.6286254,1.9837,4.091243221
46.99,-125.95,7.3567901,2.3183,4.166143846
50.55,-131.62,4.6901741,2.18446,5.217758346
48.75,-127.75,2.9062791,4.78,6.628416414
47.45,-127.27,4.3656092,1.38142,5.408240742
46.3,-128,3.1420634,1.21173,6.374864697
47.9,-127.2,4.359262,3.8479,5.41217658
47.15,-130.12,2.7302463,4.5171,6.83876263
46.73,-131.58,6.8137112,0.54492,4.328989999
41.07,-132.37,10.360166,0.96078,3.510711052
47.9,-127.65,3.1907601,7.2656,6.326031748
47.25,-131.03,5.1738672,2.629,4.96787666
44.65,-125.14,9.5422888,2.2466,3.658071293
44.65,-125.07,9.5422888,0.9799,3.658071293
44.65,-125.06,9.5422888,1.0038,3.658071293
44.65,-125.02,9.8048306,1.8881,3.608763289
44.65,-124.97,9.8048306,1.8403,3.608763289
47.23,-126.15,6.8040028,0.6214,4.332077342
47.23,-126.15,6.8040028,0.6453,4.332077342
47.24,-126.14,7.0875106,0.5019,4.244549305
47.29,-126.08,7.1277666,2.4856,4.23254621
47.29,-126.08,7.1277666,2.3661,4.23254621
47.3,-126.09,7.1277666,2.4139,4.23254621
47.3,-126.09,7.1277666,2.5812,4.23254621
47.3,-126.09,7.1277666,1.8403,4.23254621
47.29,-126.11,7.1277666,2.2227,4.23254621
47.28,-126.12,7.1277666,2.2944,4.23254621
47.28,-126.12,7.1277666,2.3661,4.23254621
47.28,-126.13,7.1277666,2.4856,4.23254621
47.27,-126.14,7.1277666,3.8001,4.23254621
47.27,-126.14,7.1277666,3.3938,4.23254621
47.27,-126.15,6.8401093,3.2743,4.320628467
47.27,-126.15,6.8401093,3.3699,4.320628467
47.27,-126.15,6.8401093,3.7284,4.320628467
47.25,-126.17,6.8040028,3.2982,4.332077342
47.44,-126.38,6.4628758,2.5334,4.444936269
47.44,-126.38,6.4628758,2.5812,4.444936269
47.44,-126.38,6.4628758,2.6768,4.444936269
47.45,-126.36,6.5422029,2.6051,4.417905672
47.45,-126.36,6.5422029,2.8202,4.417905672
47.46,-126.33,6.8071642,2.4378,4.331071268
47.46,-126.29,6.8071642,2.9636,4.331071268
47.46,-126.29,6.8071642,2.5812,4.331071268
47.46,-126.26,6.8071642,2.7246,4.331071268
47.46,-126.22,7.0861001,2.9158,4.244971727
47.46,-126.22,7.0861001,2.7963,4.244971727
47.46,-126.22,7.0861001,2.1271,4.244971727
47.46,-126.19,7.0861001,2.8202,4.244971727
47.46,-126.18,7.0861001,3.3221,4.244971727
47.46,-126.16,7.0861001,1.3623,4.244971727
44.95,-125.2,9.2965679,1.6969,3.70609989
44.95,-125.22,9.2965679,1.4579,3.70609989
44.95,-125.23,9.2965679,1.3145,3.70609989
44.95,-125.25,9.0883245,0.6692,3.748318884
44.95,-125.41,8.9141588,2.1271,3.78475926
44.95,-125.37,8.9141588,2.2705,3.78475926
44.95,-125.37,8.9141588,2.3661,3.78475926
44.95,-125.37,8.9141588,2.4378,3.78475926
44.95,-125.37,8.9141588,2.4856,3.78475926
44.95,-125.38,8.9141588,2.7007,3.78475926
44.95,-125.4,8.9141588,2.629,3.78475926
44.95,-125.42,8.9141588,2.9875,3.78475926
44.93,-125.27,9.1318445,2.9875,3.73937646
44.93,-125.27,9.1318445,4.8278,3.73937646
44.95,-125.47,8.6826057,2.9158,3.834894352
44.95,-125.52,8.6826057,3.6328,3.834894352
44.95,-125.52,8.6826057,3.3221,3.834894352
44.95,-125.58,8.4492979,3.9435,3.887479683
44.95,-125.64,8.4492979,2.7007,3.887479683
44.65,-125.27,9.1559649,1.5535,3.73444772
44.65,-125.3,9.1559649,1.673,3.73444772
44.65,-125.3,9.1559649,1.7447,3.73444772
44.65,-125.32,9.1559649,1.4818,3.73444772
44.65,-125.32,9.1559649,1.2428,3.73444772
44.65,-125.34,9.1559649,2.5095,3.73444772
44.65,-125.37,8.9884195,0.7648,3.769092335
44.65,-125.4,8.9884195,2.4139,3.769092335
44.65,-125.47,8.7853642,2.2466,3.812400857
40.75,-127.4,0.14659698,5.3775,29.51317491
40.74,-127.55,0.22720698,39.5784,23.70650922
40.74,-127.57,0.22720698,13.7664,23.70650922
40.75,-127.4,0.14659698,5.736,29.51317491
40.75,-127.42,0.14659698,7.5524,29.51317491
40.75,-127.43,0.14659698,8.8669,29.51317491
40.74,-127.58,0.22720698,19.8848,23.70650922
40.75,-127.6,0.22720698,21.6773,23.70650922
40.75,-127.62,0.22720698,8.1499,23.70650922
40.76,-127.66,0.53983307,7.8631,15.37972962
40.75,-127.66,0.52487373,9.2254,15.59735745
40.76,-127.67,0.53983307,7.2178,15.37972962
40.76,-127.69,0.53983307,7.4807,15.37972962
40.98,-127.54,0.021391379,8.4128,77.26077359
41,-127.54,0.021391379,7.2178,77.26077359
41,-127.53,0.021391379,11.2808,77.26077359
41,-127.52,0.021391379,4.5888,77.26077359
41.01,-127.51,0.021391379,37.9054,77.26077359
41.02,-127.47,0.021391379,11.0657,77.26077359
41,-127.47,0.021391379,5.6165,77.26077359
41.01,-127.47,0.021391379,6.5486,77.26077359
41.01,-127.47,0.021391379,43.1156,77.26077359
41.02,-127.47,0.021391379,6.692,77.26077359
40.94,-127.51,0.047450688,4.2064,51.87488974
40.93,-127.52,0.047450688,7.1461,51.87488974
40.91,-127.52,0.047450688,5.2341,51.87488974
40.91,-127.49,0.047450688,12.2129,51.87488974
40.91,-127.48,0.047450688,5.0907,51.87488974
50.15,-123.38,8.4487114,1.3862,3.887614612
50.12,-123.45,8.4487114,1.6969,3.887614612
50.2,-123.53,8.1750021,1.5057,3.952159897
50.18,-123.52,8.1750021,1.3384,3.952159897
50.17,-123.52,8.1750021,0.9321,3.952159897
50.45,-123.12,8.4487114,1.2667,3.887614612
50.45,-123.17,8.1750021,1.3384,3.952159897
50.45,-123.2,8.1750021,1.6491,3.952159897
51.97,-121.17,8.9942894,1.5057,3.767862232
51.83,-121.15,8.9942894,1.5057,3.767862232
52,-120.95,8.9942894,1.3862,3.767862232
52,-120.82,8.9942894,1.4579,3.767862232
51.78,-120.37,8.9942894,2.7007,3.767862232
51.82,-120.47,8.9942894,2.39,3.767862232
51.73,-120.15,8.9942894,2.1988,3.767862232
51.75,-120.07,8.9942894,2.5573,3.767862232
51.15,-119.82,8.9942894,1.3384,3.767862232
51.15,-119.8,8.9942894,1.6013,3.767862232
51.15,-119.82,8.9942894,1.9837,3.767862232
53.37,-130.15,2.2681541,1.7925,7.503124706
53.35,-130.13,2.2681541,1.7925,7.503124706
53.35,-130.13,2.2681541,1.7925,7.503124706
53.36,-130.13,2.2681541,2.7963,7.503124706
53.37,-130.16,2.2681541,1.6969,7.503124706
53.37,-130.16,2.2681541,1.5296,7.503124706
53.37,-130.12,2.2681541,1.8164,7.503124706
53.37,-130.16,2.2681541,1.2189,7.503124706
53.37,-130.16,2.2681541,2.0793,7.503124706
53.37,-130.16,2.2681541,2.1032,7.503124706
53.37,-130.16,2.2681541,1.9359,7.503124706
51.38,-120.07,8.9942894,1.673,3.767862232
51.38,-120.07,8.9942894,1.7208,3.767862232
51.38,-120.07,8.9942894,1.6969,3.767862232
53.53,-132.22,9.16572,1.5774,3.732459899
53.53,-132.22,9.16572,1.0994,3.732459899
53.53,-132.22,9.16572,1.6491,3.732459899
53.53,-132.22,9.16572,1.4101,3.732459899
53.53,-132.22,9.16572,2.5573,3.732459899
53.53,-132.22,9.16572,1.6491,3.732459899
53.53,-132.22,9.16572,1.8164,3.732459899
53.53,-132.22,9.16572,1.1711,3.732459899
53.53,-132.22,9.16572,1.5774,3.732459899
52.14,-128.05,1.3816251,2.1749,9.613539969
52.15,-128.1,1.3816251,1.7686,9.613539969
54.74,-126.62,1.238132,1.6252,10.15535172
54.74,-126.62,1.238132,1.6491,10.15535172
54.74,-126.62,1.238132,1.7925,10.15535172
54.74,-126.62,1.238132,2.1749,10.15535172
54.74,-126.62,1.238132,1.7686,10.15535172
54.2,-126.26,4.2815824,1.434,5.461051727
54.18,-126.27,4.2815824,1.5774,5.461051727
54.17,-126.28,4.2815824,2.8441,5.461051727
52.3,-120.57,8.9942894,1.0994,3.767862232
52.3,-120.57,8.9942894,1.4579,3.767862232
54.23,-126.23,4.2815824,1.9837,5.461051727
54.23,-126.24,4.2815824,1.8881,5.461051727
52.72,-131.72,5.7069907,1.434,4.730149434
52.72,-131.71,5.7069907,1.1472,4.730149434
48.89,-123.87,8.9942894,0.478,3.767862232
48.89,-123.87,8.9942894,0.4541,3.767862232
48.89,-123.85,8.9942894,0.5975,3.767862232
48.88,-123.82,8.9942894,0.6931,3.767862232
52.92,-123.62,7.2214351,1.7686,4.205006653
52.92,-123.63,7.2214351,1.6969,4.205006653
52.9,-123.62,7.2214351,1.3384,4.205006653
49.05,-123.91,8.9942894,0.717,3.767862232
49.05,-124,8.9942894,0.478,3.767862232
49.59,-119.68,9.2849312,1.4579,3.70842157
51.73,-124.62,7.2214351,1.6013,4.205006653
51.73,-124.63,7.2214351,2.17729,4.205006653
51.45,-123.62,7.2806315,2.41868,4.187877005
51.45,-123.62,7.2806315,2.57403,4.187877005
50.62,-127.5,4.6360407,1.62281,5.24813289
