lat,long,age
49.62,-129.98,0.81696123
44.68,-125.29,9.1196241
44.66,-125.27,9.1196241
44.66,-125.27,9.1196241
44.66,-125.26,9.1196241
44.66,-125.25,9.1196241
44.66,-125.36,8.9653473
44.66,-125.35,9.1196241
44.66,-125.35,9.1196241
44.66,-125.35,9.1196241
44.65,-125.35,9.1559649
45,-125.3,9.0883245
45.01,-125.3,9.0883245
45,-125.31,9.0883245
45,-125.32,9.0883245
44.99,-125.32,9.0883245
44.99,-125.33,9.0883245
44.94,-125.37,8.987608
44.94,-125.36,8.987608
44.93,-125.35,9.1318445
47.06,-125.89,7.6291208
47.06,-125.89,7.6291208
47.07,-125.9,7.6291208
47.07,-125.9,7.6291208
47.07,-125.91,7.6291208
47.08,-125.9,7.6291208
47.07,-125.91,7.6291208
47.08,-125.91,7.6291208
47.08,-125.92,7.6291208
47.08,-125.94,7.6291208
47.08,-125.94,7.6291208
46.97,-125.93,7.6286254
46.98,-125.94,7.6286254
46.97,-125.99,7.3567901
46.97,-125.98,7.3567901
46.97,-125.98,7.3567901
46.98,-125.97,7.3567901
46.98,-125.96,7.3567901
46.98,-125.95,7.3567901
46.98,-125.94,7.6286254
46.98,-125.94,7.6286254
46.99,-125.97,7.3567901
47,-125.96,7.3567901
46.99,-125.96,7.3567901
46.99,-125.94,7.6286254
46.99,-125.95,7.3567901
50.55,-131.62,4.6901741
48.75,-127.75,2.9062791
47.45,-127.27,4.3656092
46.3,-128,3.1420634
47.9,-127.2,4.359262
47.15,-130.12,2.7302463
46.73,-131.58,6.8137112
41.07,-132.37,10.360166
47.9,-127.65,3.1907601
47.25,-131.03,5.1738672
44.65,-125.14,9.5422888
44.65,-125.07,9.5422888
44.65,-125.06,9.5422888
44.65,-125.02,9.8048306
44.65,-124.97,9.8048306
47.23,-126.15,6.8040028
47.23,-126.15,6.8040028
47.24,-126.14,7.0875106
47.29,-126.08,7.1277666
47.29,-126.08,7.1277666
47.3,-126.09,7.1277666
47.3,-126.09,7.1277666
47.3,-126.09,7.1277666
47.29,-126.11,7.1277666
47.28,-126.12,7.1277666
47.28,-126.12,7.1277666
47.28,-126.13,7.1277666
47.27,-126.14,7.1277666
47.27,-126.14,7.1277666
47.27,-126.15,6.8401093
47.27,-126.15,6.8401093
47.27,-126.15,6.8401093
47.25,-126.17,6.8040028
47.44,-126.38,6.4628758
47.44,-126.38,6.4628758
47.44,-126.38,6.4628758
47.45,-126.36,6.5422029
47.45,-126.36,6.5422029
47.46,-126.33,6.8071642
47.46,-126.29,6.8071642
47.46,-126.29,6.8071642
47.46,-126.26,6.8071642
47.46,-126.22,7.0861001
47.46,-126.22,7.0861001
47.46,-126.22,7.0861001
47.46,-126.19,7.0861001
47.46,-126.18,7.0861001
47.46,-126.16,7.0861001
44.95,-125.2,9.2965679
44.95,-125.22,9.2965679
44.95,-125.23,9.2965679
44.95,-125.25,9.0883245
44.95,-125.41,8.9141588
44.95,-125.37,8.9141588
44.95,-125.37,8.9141588
44.95,-125.37,8.9141588
44.95,-125.37,8.9141588
44.95,-125.38,8.9141588
44.95,-125.4,8.9141588
44.95,-125.42,8.9141588
44.93,-125.27,9.1318445
44.93,-125.27,9.1318445
44.95,-125.47,8.6826057
