lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z
48.75,-127.75,2.9062791,200,277.5185384,299.1586169,-25.61454201,3096.673436,3222.245155
47.9,-127.2,4.359262,161,226.597009,244.2663766,-11.43339062,3230.759601,3362.07787
47.9,-127.65,3.1907601,304,264.8582972,285.5111674,3.032176971,3125.19446,3251.988508
48.68,-126.87,5.5437579,60.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.87,5.5437579,63.7,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.87,5.5437579,59.6,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.87,5.5437579,53.9,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.88,5.5437579,68.9,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.69,-126.86,5.5437579,53.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.87,5.5437579,57.6,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.88,5.5437579,61.5,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.85,5.752306,59.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,60.7,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,58,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,57.6,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,57.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,55.6,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,56.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,58,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,55.8,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,61.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,57.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,61.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,37.5,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.67,-126.85,5.752306,60.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
47.94,-128.9,0.43398958,84,718.1596621,774.159638,-4.45633316,2730.572599,2840.454282
47.92,-128.85,0.66285837,136,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818
47.9,-128.74,0.91232389,440,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113
47.74,-127.91,2.9722376,345,274.4219822,295.8206004,-0.58204329,3103.406253,3229.266521
47.73,-127.88,2.9722376,129,274.4219822,295.8206004,-0.58204329,3103.406253,3229.266521
47.87,-128.59,1.1679138,439,437.7793418,471.9160858,-5.80466938,2878.245212,2994.455721
47.85,-128.47,1.414219,334,397.8343928,428.8563473,-8.135784149,2916.22329,3034.061431
47.89,-128.66,0.91232389,900,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113
47.79,-128.21,2.1661963,267,321.4487595,346.5143873,-3.510086775,3015.130126,3137.207131
48.67,-126.86,5.5437579,62.2,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.69,-126.9,5.5437579,7.5,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.68,-126.88,5.5437579,58,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.68,-126.88,5.5437579,58.7,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.68,-126.88,5.5437579,59.5,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,59.4,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,59.6,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,59.3,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,61.4,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.87,5.5437579,58.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,62.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.86,5.5437579,59.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,66,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.66,-126.87,5.5437579,63.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.86,5.5437579,62,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,60.7,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,62.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,60.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.87,5.5437579,60.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.87,5.5437579,60.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.87,5.5437579,57.7,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.65,-126.91,5.0980859,74.2,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.66,-126.89,5.5437579,66.6,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,75.7,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,65,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,65.9,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,64.2,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.87,5.5437579,67.9,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,58.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,59.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,61.8,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,61.9,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.65,-126.91,5.0980859,70,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.68,-126.86,5.5437579,61.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,62.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.88,5.5437579,64,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.88,5.5437579,62.8,200.9363601,216.6047859,-27.44796753,3324.081515,3459.399294
48.67,-126.87,5.5437579,64.2,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,66.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,66.6,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.87,5.5437579,59.4,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.67,-126.86,5.5437579,59,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,56.3,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.65,-126.91,5.0980859,66.2,209.5352452,225.8741866,-40.77328873,3290.262945,3424.131357
48.68,-126.86,5.5437579,59,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,60,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.86,5.5437579,60.6,200.9363601,216.6047859,-33.3253479,3324.081515,3459.399294
48.68,-126.85,5.752306,60.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.85,5.752306,56.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.85,5.752306,52,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.85,5.752306,42.3,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
48.68,-126.84,5.752306,42.4,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474
