long,lat,z
-130.3919271,44.67473958,-2385.620605
-130.1252604,44.67473958,-2718.626953
-129.8585937,44.67473958,-2723.618408
-129.5919271,44.67473958,-2749.691406
-129.3252604,44.67473958,-2770.177002
-129.0585937,44.67473958,-2832.617432
-128.7919271,44.67473958,-2740.783936
-128.5252604,44.67473958,-2829.906738
-128.2585937,44.67473958,-2862.515869
-127.9919271,44.67473958,-2851.722412
-127.7252604,44.67473958,-2872.894043
-127.4585937,44.67473958,-2937.57251
-127.1919271,44.67473958,-2876.835938
-126.9252604,44.67473958,-2879.84668
-126.6585937,44.67473958,-2860.551514
-126.3919271,44.67473958,-2840.203857
-126.1252604,44.67473958,-2862.586182
-125.8585937,44.67473958,-2840.933838
-125.5919271,44.67473958,-2794.080078
-125.3252604,44.67473958,-1623.373291
-125.0585937,44.67473958,-706.3343506
-124.7919271,44.67473958,-329.1280212
-124.5252604,44.67473958,-147.3496094
-130.3919271,44.94140625,-2437.089844
-130.1252604,44.94140625,-2557.362305
-129.8585937,44.94140625,-2645.859619
-129.5919271,44.94140625,-2706.01416
-129.3252604,44.94140625,-2751.902832
-129.0585937,44.94140625,-2820.231201
-128.7919271,44.94140625,-2764.838379
-128.5252604,44.94140625,-2833.506592
-128.2585937,44.94140625,-2856.279785
-127.9919271,44.94140625,-2851.655518
-127.7252604,44.94140625,-2891.170166
-127.4585937,44.94140625,-2914.132568
-127.1919271,44.94140625,-2861.733887
-126.9252604,44.94140625,-2861.485596
-126.6585937,44.94140625,-2825.645508
-126.3919271,44.94140625,-2772.908691
-126.1252604,44.94140625,-2756.786865
-125.8585937,44.94140625,-2764.739014
-125.5919271,44.94140625,-2544.138428
-125.3252604,44.94140625,-1578.753052
-125.0585937,44.94140625,-885.0626831
-124.7919271,44.94140625,-462.8831787
-124.5252604,44.94140625,-283.7816162
-130.3919271,45.20807292,-2494.719482
-130.1252604,45.20807292,-2424.91626
-129.8585937,45.20807292,-2662.952148
-129.5919271,45.20807292,-2674.046631
-129.3252604,45.20807292,-2752.218018
-129.0585937,45.20807292,-2800.426514
-128.7919271,45.20807292,-2814.312744
-128.5252604,45.20807292,-2819.445557
-128.2585937,45.20807292,-2829.693115
-127.9919271,45.20807292,-2905.192383
-127.7252604,45.20807292,-2872.244873
-127.4585937,45.20807292,-2908.696533
-127.1919271,45.20807292,-2875.158691
-126.9252604,45.20807292,-2833.662354
-126.6585937,45.20807292,-2788.379883
-126.3919271,45.20807292,-2719.435303
-126.1252604,45.20807292,-2613.579834
-125.8585937,45.20807292,-2621.029785
-125.5919271,45.20807292,-2418.331787
-125.3252604,45.20807292,-1671.06604
-125.0585937,45.20807292,-1135.092651
-124.7919271,45.20807292,-497.2777405
-124.5252604,45.20807292,-307.6763
-130.3919271,45.47473958,-2647.210205
-130.1252604,45.47473958,-2324.872314
-129.8585937,45.47473958,-2532.724365
-129.5919271,45.47473958,-2693.577393
-129.3252604,45.47473958,-2739.931885
-129.0585937,45.47473958,-2775.825439
-128.7919271,45.47473958,-2786.67041
-128.5252604,45.47473958,-2789.171387
-128.2585937,45.47473958,-2840.460938
-127.9919271,45.47473958,-2887.665771
-127.7252604,45.47473958,-2869.392578
-127.4585937,45.47473958,-2846.06958
-127.1919271,45.47473958,-2835.022705
-126.9252604,45.47473958,-2792.016846
-126.6585937,45.47473958,-2726.677979
-126.3919271,45.47473958,-2649.584229
-126.1252604,45.47473958,-2543.289307
-125.8585937,45.47473958,-2412.483398
-125.5919271,45.47473958,-2264.523926
-125.3252604,45.47473958,-1641.721802
-125.0585937,45.47473958,-1358.317871
-124.7919271,45.47473958,-436.736084
-124.5252604,45.47473958,-201.9257507
-130.3919271,45.74140625,-2087.692627
-130.1252604,45.74140625,-1877.42395
-129.8585937,45.74140625,-2379.013672
-129.5919271,45.74140625,-2522.608154
-129.3252604,45.74140625,-2717.710693
-129.0585937,45.74140625,-2750.777344
-128.7919271,45.74140625,-2756.292236
-128.5252604,45.74140625,-2786.141846
-128.2585937,45.74140625,-2838.534424
-127.9919271,45.74140625,-2859.35791
-127.7252604,45.74140625,-2824.917969
-127.4585937,45.74140625,-2809.095459
-127.1919271,45.74140625,-2809.602783
-126.9252604,45.74140625,-2771.127197
-126.6585937,45.74140625,-2715.424072
-126.3919271,45.74140625,-2657.057617
-126.1252604,45.74140625,-2537.339111
-125.8585937,45.74140625,-2269.833984
-125.5919271,45.74140625,-1971.845947
-125.3252604,45.74140625,-1607.734619
-125.0585937,45.74140625,-1089.357666
-124.7919271,45.74140625,-287.4633484
-124.5252604,45.74140625,-149.1086731
-130.3919271,46.00807292,-2222.980225
-130.1252604,46.00807292,-2193.998047
-129.8585937,46.00807292,-2279.592529
-129.5919271,46.00807292,-2624.30957
-129.3252604,46.00807292,-2712.328613
-129.0585937,46.00807292,-2730.760254
-128.7919271,46.00807292,-2717.797119
-128.5252604,46.00807292,-2791.484863
-128.2585937,46.00807292,-2818.918213
